gene,log2FC_BaP_vs_Control,welch_p,n_bap,n_control,BH_p
Psma7,0.17988848224999998,0.0017696239456316345,4,4,0.7515804298960805
Hba-a2,-0.80805719625,0.001807533258090266,4,4,0.7515804298960805
Gm73808,-0.80805719625,0.001807533258090266,4,4,0.7515804298960805
Hba-a1,-0.80805719625,0.001807533258090266,4,4,0.7515804298960805
Cyrib,0.2638791669999998,0.0018581810793710423,4,4,0.7515804298960805
Arl4d,0.934085895,0.001870118012205951,4,4,0.7515804298960805
Vmn1r173,0.19268876125,0.001881003210835799,4,4,0.7515804298960805
Clasp1,-0.42177790849999997,0.0019147526047992682,4,4,0.7515804298960805
Med13,0.2620177565,0.0019605806562027184,4,4,0.7515804298960805
Aldh1b1,0.47007395725,0.002000146698874569,4,4,0.7515804298960805
H2ac11,-0.3624053670000005,0.0020135217451287646,4,4,0.7515804298960805
Anapc1,0.1729973945,0.00202537079570525,4,4,0.7515804298960805
Pdia6,-0.23278865875000002,0.0020505466955206345,4,4,0.7515804298960805
Atad1,0.11681955949999998,0.00207001844917942,4,4,0.7515804298960805
Galp,0.234560259,0.002075926594444091,4,4,0.7515804298960805
B3gnt2,0.2431772682499999,0.0020769273394103055,4,4,0.7515804298960805
Cd163,-0.186945528,0.002090722542999309,4,4,0.7515804298960805
Slc38a11,0.2171631583749999,0.0021812095229005136,4,4,0.7515804298960805
Itgad,0.332728114,0.0021941556592920426,4,4,0.7515804298960805
Cdk2ap2,-0.23735650925000007,0.002195995606371573,4,4,0.7515804298960805
4930455J16Rik,0.27534468075,0.002277367398465624,4,4,0.7515804298960805
Prc1,-0.25835446574999965,0.0023033847242406457,4,4,0.7515804298960805
Ino80dos,0.16356783637500005,0.0023688455834721617,4,4,0.7515804298960805
Rbak,0.21990235925,0.002459709441430709,4,4,0.7515804298960805
1700022A22Rik,-0.21989795350000002,0.002512434205842583,4,4,0.7515804298960805
Hbb-bt,-0.6558910237499997,0.0025401049534078944,4,4,0.7515804298960805
9430041J12Rik,0.27110975224999967,0.0025540733316789304,4,4,0.7515804298960805
Nhlh1,0.20149118349999998,0.002585656353327992,4,4,0.7515804298960805
Zranb1,0.22470198212499992,0.0025932861396254065,4,4,0.7515804298960805
Spata22,0.33296702975,0.002635336495584873,4,4,0.7515804298960805
Or1ak2,-0.3641567385,0.002676293777531291,4,4,0.7515804298960805
Mccc2,0.188065582875,0.0027193801150069874,4,4,0.7515804298960805
Sys1,0.25509885425,0.0027219261033849425,4,4,0.7515804298960805
Bahcc1,0.06508422824999999,0.002753067733192312,4,4,0.7515804298960805
Mosmo,0.2606549412500001,0.0027721988939625234,4,4,0.7515804298960805
Strn,0.1304342115,0.0027782519084454745,4,4,0.7515804298960805
Wdr1,0.12985995550000018,0.0027805438542286127,4,4,0.7515804298960805
Gm29394,0.15042707312499998,0.002819379442366943,4,4,0.7515804298960805
P2ry6,0.3015760495,0.0028277363625365754,4,4,0.7515804298960805
Mir7093,0.18042602624999993,0.002839512045839364,4,4,0.7515804298960805
Ppm1k,0.2999074749999995,0.0028569522809567347,4,4,0.7515804298960805
Nr1d2,0.25608877075,0.002919631908409701,4,4,0.7515804298960805
Or4p19,0.27004507450000004,0.0029340214779182516,4,4,0.7515804298960805
Vmn1r17,-0.15093158250000002,0.0029521569417749194,4,4,0.7515804298960805
Rnf169,-0.17126941075000002,0.002957767734026921,4,4,0.7515804298960805
Snrnp200,0.22415011675000002,0.0029913323353086096,4,4,0.7515804298960805
Gm3893,-0.263648159,0.0030506934062014845,4,4,0.7515804298960805
