"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.03245446739075e-34,1.30864621352544,0.29,0.101,6.8164457927351e-30,"18","TBC1D30"
2.03384877728823e-34,1.09143516642446,0.293,0.102,6.82112202926925e-30,"18","NPHP1"
2.20987105827909e-34,0.824632261663501,0.371,0.144,7.4114655552564e-30,"18","AL359710.1"
2.29793950841968e-34,0.535901645199038,0.649,0.333,7.70682952333793e-30,"18","RASA2"
2.52365940854426e-34,0.508502083534903,0.439,0.184,8.46384892437573e-30,"18","C1orf159"
2.86521674010162e-34,0.575680699763851,0.602,0.3,9.6093639029528e-30,"18","RAD9A"
4.50167623548442e-34,0.756182170645716,0.444,0.19,1.50977217585676e-29,"18","ARHGAP20"
4.90309188855156e-34,0.746353513916606,0.463,0.205,1.64439895758242e-29,"18","ABCB9"
5.3242896872525e-34,0.623513308903663,0.515,0.24,1.78566027531074e-29,"18","GALNT1"
5.70372856959255e-34,0.520121057644142,0.424,0.176,1.91291648766995e-29,"18","TMEM130"
6.11638231071988e-34,0.741162906131885,0.471,0.208,2.05131229936923e-29,"18","BAIAP2"
7.6814901786483e-34,0.733498538535,0.42,0.174,2.57621817611507e-29,"18","PREP"
8.90320531518054e-34,0.667019521603037,0.5,0.228,2.98595699860525e-29,"18","NMT2"
9.78968661806557e-34,0.583704490755767,0.783,0.434,3.28326509796683e-29,"18","GLS"
1.26905369206801e-33,0.693218238303682,0.715,0.386,4.25615227245769e-29,"18","FOCAD"
1.28908652877958e-33,0.64714382752346,0.588,0.285,4.32333840022096e-29,"18","RPRD1A"
1.76097456569957e-33,0.578447427203662,0.532,0.244,5.90595649844321e-29,"18","FAM13A"
1.88650027676232e-33,1.09596335273713,0.263,0.088,6.32694462820546e-29,"18","RAB37"
1.94382446518061e-33,1.00730264384803,0.305,0.109,6.51919849132273e-29,"18","CNRIP1"
1.99028783253235e-33,0.579468311137717,0.473,0.212,6.67502733274698e-29,"18","AKT2"
2.08347700403584e-33,0.684823503256387,0.28,0.096,6.98756517613539e-29,"18","RUNDC3A"
2.35487359643121e-33,0.549489582029989,0.588,0.288,7.89777506771098e-29,"18","PLEKHA6"
2.36728427761855e-33,0.850078059113184,0.424,0.178,7.9393980102771e-29,"18","DGKH"
2.47318029112636e-33,0.683602075710282,0.583,0.291,8.29455206037958e-29,"18","ZNF248"
2.5318011001626e-33,0.632591234356707,0.559,0.276,8.49115452972533e-29,"18","SUN1"
3.53636229150207e-33,0.609851477198455,0.459,0.198,1.18602518532396e-28,"18","MAMLD1"
4.59229089829728e-33,0.52889040500173,0.449,0.192,1.54016252147094e-28,"18","JAKMIP3"
4.63078126037861e-33,0.616868248862201,0.551,0.257,1.55307141910578e-28,"18","LONRF2"
5.44516895005937e-33,0.875049906864419,0.468,0.213,1.82620076247091e-28,"18","WDR19"
5.64829644619741e-33,1.15649365552068,0.254,0.083,1.89432566212569e-28,"18","EHD3"
5.72167635590653e-33,1.02620568938159,0.341,0.129,1.91893581624393e-28,"18","ARNTL2"
5.84986827239785e-33,0.635768044871231,0.468,0.21,1.96192882119679e-28,"18","ZFP90"
6.033951363879e-33,1.20629646702295,0.29,0.104,2.02366660841774e-28,"18","MAP3K21"
6.34911876762836e-33,0.500962679756748,0.632,0.298,2.1293674522872e-28,"18","ZNF385B"
6.70713305815997e-33,0.789776728745501,0.424,0.18,2.24943828504569e-28,"18","SLF1"
6.73390051834639e-33,0.988109589727277,0.302,0.109,2.25841555584301e-28,"18","SGTB"
7.28402766092585e-33,0.563842964146688,0.437,0.183,2.44291719692131e-28,"18","DPY19L1"
7.33883988309947e-33,0.639438039975192,0.415,0.174,2.4613001199939e-28,"18","PDE2A"
8.76100520225773e-33,0.647098612709614,0.4,0.166,2.9382659247332e-28,"18","FAIM2"
8.95818098332594e-33,1.28154347570793,0.28,0.1,3.00439473818786e-28,"18","SNAP25-AS1"
9.72593375364286e-33,0.560305548068083,0.92,0.668,3.26188366229674e-28,"18","GPHN"
9.81598730394253e-33,1.13424059834999,0.295,0.107,3.29208582199625e-28,"18","TSPAN13"
1.1468844287058e-32,1.00137188432655,0.29,0.103,3.84642099699352e-28,"18","GATB"
1.17551877841083e-32,1.01982811561282,0.324,0.124,3.94245487903423e-28,"18","NME9"
1.19494542302645e-32,0.542595441588948,0.683,0.345,4.00760795974612e-28,"18","LINC00632"
1.21729886329561e-32,0.731323458401287,0.473,0.212,4.08257692772083e-28,"18","UPP2"
1.25986955514045e-32,0.531074444164864,0.639,0.329,4.22535051403004e-28,"18","KIAA0930"
1.28654615489283e-32,0.868401431765411,0.273,0.093,4.31481849427956e-28,"18","ALDH1A2"
1.36409234190908e-32,0.708497808168609,0.346,0.134,4.57489289629468e-28,"18","TOLLIP"
